scientificName,thr_lev2,stressName,thr_lev1,thr_lev1name,thr_lev2name
Montipora hodgsoni,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora hodgsoni,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Montipora hodgsoni,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Montipora hodgsoni,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Montipora hodgsoni,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Montipora hodgsoni,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Montipora hodgsoni,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora hodgsoni,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora hodgsoni,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Alveopora marionensis,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Alveopora marionensis,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Alveopora marionensis,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Alveopora marionensis,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Alveopora marionensis,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Alveopora marionensis,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Alveopora marionensis,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Alveopora marionensis,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Alveopora marionensis,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Alveopora marionensis,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Alveopora marionensis,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Alveopora marionensis,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Alveopora marionensis,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Alveopora marionensis,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Alveopora marionensis,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Alveopora marionensis,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Alveopora marionensis,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Alveopora marionensis,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Alveopora marionensis,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Alveopora marionensis,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Alveopora marionensis,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Alveopora marionensis,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Goniopora cellulosa,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Goniopora cellulosa,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Goniopora cellulosa,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Goniopora cellulosa,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Goniopora cellulosa,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Goniopora cellulosa,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Goniopora cellulosa,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Goniopora cellulosa,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Goniopora cellulosa,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Goniopora cellulosa,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Goniopora cellulosa,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Goniopora cellulosa,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Goniopora cellulosa,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Goniopora cellulosa,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Goniopora cellulosa,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Goniopora cellulosa,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Goniopora cellulosa,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Goniopora cellulosa,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Goniopora cellulosa,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Goniopora cellulosa,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Goniopora cellulosa,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Goniopora cellulosa,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Favia rosaria,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Favia rosaria,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Favia rosaria,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Favia rosaria,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Favia rosaria,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Favia rosaria,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Favia rosaria,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Favia rosaria,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Favia rosaria,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Favia rosaria,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Favia rosaria,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Favia rosaria,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Favia rosaria,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Favia rosaria,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Favia rosaria,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Favia rosaria,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Favia rosaria,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Favia rosaria,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Favia rosaria,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Favia rosaria,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Favia rosaria,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Favia rosaria,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Acropora turaki,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Acropora turaki,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Acropora turaki,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Acropora turaki,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Acropora turaki,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Acropora turaki,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Acropora turaki,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Acropora turaki,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Acropora turaki,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Acropora turaki,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Acropora turaki,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Acropora turaki,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Acropora turaki,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Acropora turaki,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Acropora turaki,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Acropora turaki,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Acropora turaki,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Acropora turaki,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Acropora turaki,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Acropora turaki,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Acropora turaki,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Acropora turaki,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Acropora rudis,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Acropora rudis,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Acropora rudis,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Acropora rudis,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Acropora rudis,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Acropora rudis,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Acropora rudis,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Acropora rudis,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Acropora rudis,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Acropora rudis,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Acropora rudis,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Acropora rudis,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Acropora rudis,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Acropora rudis,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Acropora rudis,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Acropora rudis,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Acropora rudis,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Acropora rudis,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Acropora rudis,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Acropora rudis,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Acropora rudis,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Acropora rudis,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Echinopora ashmorensis,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Echinopora ashmorensis,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Echinopora ashmorensis,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Echinopora ashmorensis,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Echinopora ashmorensis,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Echinopora ashmorensis,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Echinopora ashmorensis,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Echinopora ashmorensis,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Echinopora ashmorensis,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Echinopora ashmorensis,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Echinopora ashmorensis,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Echinopora ashmorensis,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Echinopora ashmorensis,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Echinopora ashmorensis,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Echinopora ashmorensis,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Echinopora ashmorensis,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Echinopora ashmorensis,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Echinopora ashmorensis,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Echinopora ashmorensis,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Echinopora ashmorensis,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Echinopora ashmorensis,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Echinopora ashmorensis,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Pectinia lactuca,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Pectinia lactuca,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Pectinia lactuca,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Pectinia lactuca,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Pectinia lactuca,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Pectinia lactuca,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Pectinia lactuca,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Pectinia lactuca,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Pectinia lactuca,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Pectinia lactuca,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Pectinia lactuca,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Pectinia lactuca,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Pectinia lactuca,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Pectinia lactuca,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Pectinia lactuca,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Pectinia lactuca,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Pectinia lactuca,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Pectinia lactuca,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Pectinia lactuca,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Pectinia lactuca,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Pectinia lactuca,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Pectinia lactuca,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora gaimardi,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Montipora gaimardi,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Montipora gaimardi,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Montipora gaimardi,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Montipora gaimardi,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Montipora gaimardi,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Montipora gaimardi,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Montipora gaimardi,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Montipora gaimardi,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Montipora gaimardi,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Montipora gaimardi,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Montipora gaimardi,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora gaimardi,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora gaimardi,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora gaimardi,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Montipora gaimardi,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Montipora gaimardi,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Montipora gaimardi,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Montipora gaimardi,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Montipora gaimardi,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora gaimardi,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora gaimardi,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Acropora willisae,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Acropora willisae,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Acropora willisae,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Acropora willisae,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Acropora willisae,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Acropora willisae,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Acropora willisae,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Acropora willisae,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Acropora willisae,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Acropora willisae,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Acropora willisae,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Acropora willisae,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Acropora willisae,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
