assessmentId,internalTaxonId,scientificName,code,name,note
92777596,22678537,Crax globulosa,1.1,Site/area protection," *Designate protected sites and promote ecotourism<B><SUP>3,6,12</SUP></B>.
</P>"
92777596,22678537,Crax globulosa,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92777596,22678537,Crax globulosa,6.1,Linked enterprises & livelihood alternatives,"*Designate protected sites and promote ecotourism<B><SUP>3,6,12</SUP></B>.

</P>"
92777596,22678537,Crax globulosa,4.3,Awareness & communications," *Organise education programmes to encourage further uptake of sustainable hunting practices<B><SUP>1,3,6</SUP></B>.

</P>"
92777952,22678544,Crax blumenbachii,3.4.1,Captive breeding/artificial propagation,Collar and Butchart (2013) suggested that captive breeding should be considered.
92777952,22678544,Crax blumenbachii,2.1,Site/area management,"<B>Patrol reserves to prevent hunting and trapping. </B>
</P>"
92777952,22678544,Crax blumenbachii,3.3.1,Reintroduction,"<B>Continue the reintroduction programme. 
</B>
</P>"
92777952,22678544,Crax blumenbachii,2.1,Site/area management,"<B>Ensure the <I>de facto</I></B> protection of all reserves with known populations, especially Monte Pascoal. 
</P>"
92778607,22678559,Aepypodius bruijnii,5.1.2,National level,"Declare the species' core locations as strictly no hunting areas. 
</P>"
92778607,22678559,Aepypodius bruijnii,1.2,Resource & habitat protection,"Convert Waigeo's 'paper parks' into a single integrated, properly demarcated, meaningful protected area with national park status and multiple-usage zonations demarcated following consultation with local communities. 
</P>"
92778607,22678559,Aepypodius bruijnii,4.3,Awareness & communications,"Set up an island-wide awareness campaign to prevent future wild fires. 
</P>"
92779438,22678576,Macrocephalon maleo,3.1.1,Harvest management,"Initiate maleo-based conservation activities in Paluki and Saluki, Central Sulawesi.
</P>"
92779438,22678576,Macrocephalon maleo,1.2,Resource & habitat protection,"Renew community-based protection initiatives. 
</P>"
92779438,22678576,Macrocephalon maleo,1.1,Site/area protection,"Extend protected area status to selected key nesting grounds and forest corridors connecting nesting grounds and non-breeding areas. 
</P>"
92779438,22678576,Macrocephalon maleo,4.3,Awareness & communications,"Conduct a Sulawesi-wide awareness-raising campaign to discourage Maleo egg consumption and use the species as a flagship for forest conservation.

</P>"
92779438,22678576,Macrocephalon maleo,4.2,Training,"Strengthen the capacity of conservation agencies and government to prevent illegal activities in formally protected areas and establish new management plans to realistically address conservation issues in National Parks and Nature Reserves.
</P>"
92779438,22678576,Macrocephalon maleo,2.3,Habitat & natural process restoration,"Reforestation between existing forest and nesting grounds
</P>"
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Extend protected area status to selected key nesting grounds and forest corridors connecting nesting grounds and non-breeding areas. 
</P>"
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Expand management activities in protected areas, particularly scrub clearance at nesting sites, control of invasive egg predators and minimise human disturbance.
</P>"
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Initiate maleo-based conservation activities in Paluki and Saluki, Central Sulawesi.
</P>"
92779885,22678583,Megapodius nicobariensis,2.2,Invasive/problematic species control,"Eradicate and manage invasive species
</P>"
92779885,22678583,Megapodius nicobariensis,4.3,Awareness & communications,"Initiate a conservation awareness programme to reduce hunting.

</P>"
92779885,22678583,Megapodius nicobariensis,1.1,Site/area protection,"Include coastal forests free from human settlement into the existing Protected Areas networks and strictly implement the Indian Wildlife (Protection) Act, 1972.
</P>"
92779885,22678583,Megapodius nicobariensis,1.1,Site/area protection,"Continue to lobby for expansion of the existing protected areas system to encompass wider tracts of coastal forest on Great Nicobar, the Nancowry island group and Little Nicobar.
</P>"
92779885,22678583,Megapodius nicobariensis,3.1.1,Harvest management,"Initiate a conservation awareness programme to reduce hunting.

</P>"
92779885,22678583,Megapodius nicobariensis,5.4.2,National level,"Include coastal forests free from human settlement into the existing Protected Areas networks and strictly implement the Indian Wildlife (Protection) Act, 1972.
</P>"
92779885,22678583,Megapodius nicobariensis,6.1,Linked enterprises & livelihood alternatives,"Empower indigenous people to follow alternative livelihood options such as fishing, handicrafts etc.
</P>"
92779885,22678583,Megapodius nicobariensis,2.3,Habitat & natural process restoration,Carry out habitat restoration work on the west coast of Great Nicobar (A. Rahmani <i>in litt</i>. 2012).
92779885,22678583,Megapodius nicobariensis,5.4.3,Sub-national level,"Following losses to the tsunami, restore the infrastructure of the state forest department (A. Rahmani <i>in litt</i>. 2012)."
92779885,22678583,Megapodius nicobariensis,5.1.3,Sub-national level,"Review the immunity of indigenous people to hunting regulations, given their changing lifestyles (A. Rahmani <i>in litt</i>. 2012)."
92780409,22678593,Megapodius bernsteinii,4.3,Awareness & communications,"Raise awareness of the species and its status in an effort to reduce hunting and nest-robbing.
</P>"
92780409,22678593,Megapodius bernsteinii,1.1,Site/area protection,"Protect areas of suitable habitat.
</P>"
92780409,22678593,Megapodius bernsteinii,2.2,Invasive/problematic species control,"Implement control measures against introduced animals if deemed appropriate.
</P>"
92781287,22678615,Megapodius layardi,3.1.1,Harvest management,"Assess the scale of egg-collection in more areas and encourage the adoption of sustainable harvesting regimes where appropriate
</P>"
92781287,22678615,Megapodius layardi,4.1,Formal education,"Repeat the successful workshop format for future education and awareness campaigns
</P>"
92781287,22678615,Megapodius layardi,4.3,Awareness & communications,"Regularly review the effectiveness of existing conservation efforts on Ambrym and repeat surveys and awareness measures as appropriate
</P>"
92781287,22678615,Megapodius layardi,4.3,Awareness & communications,"Repeat the successful workshop format for future education and awareness campaigns
</P>"
92781640,22678620,Megapodius laperouse,2.2,Invasive/problematic species control,"Eradicate rats from Kayangel. 
</P>"
92781640,22678620,Megapodius laperouse,1.1,Site/area protection,"In the Marianas, preserve remnant forest from development and feral ungulates.


</P>"
92781640,22678620,Megapodius laperouse,2.2,Invasive/problematic species control,"Throughout its range, selectively control cats, rats, and monitor lizards, and protect all islands from the introduction of the brown tree-snake.

</P>"
92781640,22678620,Megapodius laperouse,4.3,Awareness & communications,"Implement an education programme to discourage hunting of the species.
</P>"
92782396,22678632,Eulipoa wallacei,4.3,Awareness & communications,"Conduct education programmes and work closely with local people to achieve and maintain sustainable egg-harvest regimes.

</P>"
92782396,22678632,Eulipoa wallacei,1.1,Site/area protection,"Campaign for full legal protection of all important, viable nesting grounds, particularly on Halmahera and Haruku. 
</P>"
92782728,22678646,Leipoa ocellata,2.1,Site/area management,"Encourage adoption of suitable fire regimes<B><SUP>2</SUP></B>.
</P>"
92782728,22678646,Leipoa ocellata,2.1,Site/area management,"In reserves, close or fence off artificial water supplies and remove livestock<B><SUP>2</SUP></B>. 

</P>"
92782728,22678646,Leipoa ocellata,2.2,Invasive/problematic species control,"Continue efforts to control foxes, goats and rabbits<B><SUP>2</SUP></B>.
</P>"
92782728,22678646,Leipoa ocellata,1.2,Resource & habitat protection,"Establish long term conservation covenant agreements to secure privately owned natural vegetation<B><SUP>2</SUP></B>. 
</P>"
92782728,22678646,Leipoa ocellata,4.3,Awareness & communications,"Foster communication with graziers and farmers about malleefowl requirements<B><SUP>2</SUP></B>.

</P>"
92782728,22678646,Leipoa ocellata,2.1,Site/area management,"Maintain or establish habitat corridors between fragments<B><SUP>2</SUP></B>.
</P>"
92785771,22678733,Francolinus gularis,4.3,Awareness & communications,"Conduct awareness programmes of the plight of this species and the importance of its habitat at key sites 
</P>"
92785771,22678733,Francolinus gularis,3.3.1,Reintroduction,Consider reintroduction in areas of restored habitat.
92785771,22678733,Francolinus gularis,4.2,Training,Train local people in monitoring the species.
92785771,22678733,Francolinus gularis,2.1,Site/area management,"Provide management recommendations to protected area managers in India and Nepal 
</P>"
92785771,22678733,Francolinus gularis,5.2,Policies and regulations,Implement a control on poaching and trapping of the species.
92785771,22678733,Francolinus gularis,6.1,Linked enterprises & livelihood alternatives,Provide livelihood alternatives for poachers and trappers.
92785771,22678733,Francolinus gularis,1.2,Resource & habitat protection,"Establish Site Support Groups at Koshi Tappu and Royal Sukla Phanta Wildlife Reserves in Nepal and key sites in India 
</P>"
92793461,22678891,Pternistis camerunensis,2.1,Site/area management,"Control/regulate human-induced burning of grasslands.
</P>"
92793729,22678896,Pternistis swierstrai,2.1,Site/area management,"Initiate long-term conservation at Mt Moco IBA, perhaps though a Site Support Group.
</P>"
92794026,22678901,Xenoperdix udzungwensis,2.1,Site/area management,"Hault the clearance of permanent tourist trails through forests<B><SUP>13</SUP></B>.
</P>"
92794026,22678901,Xenoperdix udzungwensis,2.1,Site/area management,"Encourage beneficial management practices in the Udzungwa Mountains and Udzungwa National Park IBAs, focusing on the control of fires and illegal hunting. 
</P>"
92794026,22678901,Xenoperdix udzungwensis,1.1,Site/area protection,"Promote the extension of the national park, with local people given access to undertake certain activities<B><SUP>12</SUP></B>. 
</P>"
92794026,22678901,Xenoperdix udzungwensis,2.1,Site/area management,"Establish wide buffer zones around forests to protect them from fire<B><SUP>13</SUP></B>.
</P>"
92794900,22678934,Melanoperdix niger,1.1,Site/area protection,"Following surveys, review whether key populations are adequately represented within the existing protected areas network, and advocate protection of further areas if necessary. 
</P>"
92794900,22678934,Melanoperdix niger,2.1,Site/area management,"Develop support mechanisms for key Important Bird Areas (IBAs) in Peninsular Malaysia.
</P>"
92794900,22678934,Melanoperdix niger,5.1.1,International level,"Afford the species full protection under Indonesian and Malaysian law.

</P>"
92799504,22679029,Arborophila mandellii,4.3,Awareness & communications,Conduct awareness programmes to reduce trapping and hunting pressure (A. Rahmani <i>in litt</i>. 2012). 
92799504,22679029,Arborophila mandellii,2.1,Site/area management,"Identify key areas and develop conservation management recommendations for them.
</P>"
92800034,22679035,Arborophila rufipectus,1.2,Resource & habitat protection,"Develop sustainable wood-cutting, bamboo and medicinal plant collection and alternative livelihoods to provide economic benefits for local people 
</P>"
92800034,22679035,Arborophila rufipectus,2.1,Site/area management,"Expand protected area network by extending Laojunshan and Mabian Dafending, proposing and establishing new reserves, connecting reserves using habitat corridors and assisting existing reserves to attain National Nature Reserve Status
</P>"
92800034,22679035,Arborophila rufipectus,6.1,Linked enterprises & livelihood alternatives,"Encourage controlled ecotourism in selected areas in line with tourism plan for region 
</P>"
92800034,22679035,Arborophila rufipectus,5.4.3,Sub-national level,Enforce tighter controls on hunting (Dai Bo <i>et al</i>. 2009).
92800034,22679035,Arborophila rufipectus,1.1,Site/area protection,"Expand protected area network by extending Laojunshan and Mabian Dafending, proposing and establishing new reserves, connecting reserves using habitat corridors and assisting existing reserves to attain National Nature Reserve Status 
</P>"
92800034,22679035,Arborophila rufipectus,4.1,Formal education,"Conduct education programmes for local schools about forests and wildlife using the Sichuan hill-partridge as an ambassador 
</P>"
92800034,22679035,Arborophila rufipectus,2.3,Habitat & natural process restoration,Create habitat corridors by planting fast-growing native broadleaved tree species (Dai Bo <i>et al</i>. 2009).
92800034,22679035,Arborophila rufipectus,2.1,Site/area management,"Expand protected area network by extending Laojunshan and Mabian Dafending, proposing and establishing new reserves, connecting reserves using habitat corridors and assisting existing reserves to attain National Nature Reserve Status 
</P>"
92802107,22679063,Arborophila ardens,4.3,Awareness & communications,"Conduct public awareness programmes on the plight of the threatened and endemic forest wildlife of Hainan.
</P>"
92802107,22679063,Arborophila ardens,4.1,Formal education,"Attempt to reduce hunting through public education
</P>"
92802107,22679063,Arborophila ardens,2.1,Site/area management,"Enhance the protection status of existing protected areas (e.g. from county to provincial level) wherever possible
</P>"
92802107,22679063,Arborophila ardens,5.1.2,National level,"Attempt to reduce hunting through public education and the enforcement of relevant legislation.

</P>"
92802107,22679063,Arborophila ardens,3.1.1,Harvest management,"Attempt to reduce hunting through public education and the enforcement of relevant legislation.

</P>"
92802107,22679063,Arborophila ardens,1.1,Site/area protection,"Assess the ability of the protected area system to safeguard the species in the long term, and add new forests where necessary.
</P>"
92802107,22679063,Arborophila ardens,2.1,Site/area management,"Enhance the protection status of existing protected areas (e.g. from county to provincial level) wherever possible, and establish corridors between blocks of suitable habitat.
</P>"
92805668,22679172,Tragopan caboti,2.1,Site/area management,"Ensure that the species' needs are fully reflected in management plans for key protected areas and that staff are adequately trained. 
</P>"
92805668,22679172,Tragopan caboti,1.1,Site/area protection,"Conduct surveys in protected areas throughout its range, to determine which of them support significant populations and whether additional protected areas are required.
</P>"
92805668,22679172,Tragopan caboti,3.4.1,Captive breeding/artificial propagation,"Promote the careful management of existing captive populations through the use of an International Studbook 
</P>"
92805668,22679172,Tragopan caboti,4.2,Training,"Ensure that the species' needs are fully reflected in management plans for key protected areas and that staff are adequately trained. 
</P>"
92805668,22679172,Tragopan caboti,3.2,Species recovery,"Assess the long-term benefits of experimental provision of artificial nests and promote their use more widely if beneficial
</P>"
92805668,22679172,Tragopan caboti,2.1,Site/area management,"In degraded areas, promote habitat management such as replanting of conifer areas with appropriate deciduous tree species (e.g. <I>D.&#160;macropodum</I>).
</P>"
92806372,22679185,Lophophorus sclateri,5.4.2,National level,Appoint security personnel to control poaching in India.
92806372,22679185,Lophophorus sclateri,1.1,Site/area protection,"Campaign for protected areas in Towang, West Kameng, East Kameng and Lower Subansiri districts, Arunachal Pradesh.

</P>"
92806372,22679185,Lophophorus sclateri,4.1,Formal education,Initiate a conservation education programme in Arunachal Pradesh.
92806372,22679185,Lophophorus sclateri,3.4.1,Captive breeding/artificial propagation,"In 1997, 3 pairs were sent to the Endangered Species Breeding Centre, Beijing, but the subsequent outcome is unknown.  Similar species (eg. Himalayan Monal) have been successfully bred in captivity.
"
92806697,22679192,Lophophorus lhuysii,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92806697,22679192,Lophophorus lhuysii,5.4.2,National level,"Enforce the existing laws on wildlife protection, with particular attention to hunting
</P>"
92808853,22679278,Lophura bulweri,1.1,Site/area protection,"Support the proposed extension of Bukit Raya National Park, and establishment of further protected areas found to hold populations.
</P>"
92808853,22679278,Lophura bulweri,5.4.2,National level,"Promote prohibition of hunting by those living or working within logging concessions. 
</P>"
92808853,22679278,Lophura bulweri,3.4.1,Captive breeding/artificial propagation,"A total of 20 captive birds were registered by ISIS in 2001, usually kept in monogamous pairs and showing only sporadic breeding. J. Rowden, 2001, suggests that an alternative social structure may be more successful in replicating natural conditions.
"
92808853,22679278,Lophura bulweri,1.1,Site/area protection,"*Support the proposed extension of Bukit Raya National Park, and establishment of further protected areas found to hold populations.
</P>"
92808853,22679278,Lophura bulweri,2.1,Site/area management,"*Assist forest managers in habitat identification and zoning of concession areas.

</P>"
92808853,22679278,Lophura bulweri,2.1,Site/area management,"*Promote the concept of Forest Management Units in Sabah (99-year concessions of great size). 
</P>"
92809690,22679299,Crossoptilon mantchuricum,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92809690,22679299,Crossoptilon mantchuricum,2.1,Site/area management,"Assess the impact of the logging ban and promote measures to prevent further deforestation within its range 
</P>"
92809690,22679299,Crossoptilon mantchuricum,2.1,Site/area management,"Implement the recently completed management plans for the four critical reserves holding this species and develop a plan for the new Wulushan National Nature Reserve 
</P>"
92809690,22679299,Crossoptilon mantchuricum,2.1,Site/area management,"Research habitat preferences to inform protected area forest management 
</P>"
92809690,22679299,Crossoptilon mantchuricum,3.3.1,Reintroduction,"Conduct a feasibility study for translocation into Taiyue Shan (Shanxi), where its habitat has been restored.

</P>"
92809690,22679299,Crossoptilon mantchuricum,1.1,Site/area protection,"Conduct additional surveys in Shaanxi and elsewhere in its range, with the aim of identifying suitable sites for the designation of new protected areas. 
</P>"
92809690,22679299,Crossoptilon mantchuricum,1.1,Site/area protection,"Support the establishment of a new reserve at Donlingshan 
</P>"
92812683,22679365,Polyplectron inopinatum,1.1,Site/area protection,"Use as a flagship species to lobby for a substantial new protected area in the Main Range. 

</P>"
92812683,22679365,Polyplectron inopinatum,2.1,Site/area management,"Develop support mechanisms for key IBAs in Peninsular Malaysia.
</P>"
92812683,22679365,Polyplectron inopinatum,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92813247,22679385,Polyplectron malacense,2.1,Site/area management,"Develop support mechanisms for key IBAs in peninsular Malaysia.
</P>"
92813247,22679385,Polyplectron malacense,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92813247,22679385,Polyplectron malacense,2.1,Site/area management,"*Support proposals for heightened status and stricter management guidelines and protection measures at Krau Wildlife Reserve.

</P>"
92814166,22679430,Afropavo congensis,4.3,Awareness & communications,"Continue education campaigns designed to mitigate bushmeat hunting within the region.
</P>"
92814166,22679430,Afropavo congensis,2.1,Site/area management,"Improve the protection of nature reserves and national parks where the species occurs.<B>
</B>
</P>"
92814166,22679430,Afropavo congensis,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92817099,22679514,Tympanuchus cupido,3.1.1,Harvest management,"Strictly control hunting, and if survival is confirmed to be higher in unhunted populations consider banning hunting of the species. 
</P>"
92817099,22679514,Tympanuchus cupido,3.2,Species recovery,"Retain/restore corridors of suitable habitat between populations to facilitate dispersal and reduce the stresses associated with a loss of genetic variation.
</P>"
92817099,22679514,Tympanuchus cupido,1.2,Resource & habitat protection,"Fence areas of habitat to remove grazing ressure from sheep, or reduce the number of grazing animals to maintain habitat. 
</P>"
92817099,22679514,Tympanuchus cupido,2.3,Habitat & natural process restoration,"Retain/restore corridors of suitable habitat between populations to facilitate dispersal and reduce the stresses associated with a loss of genetic variation.
</P>"
92817099,22679514,Tympanuchus cupido,1.2,Resource & habitat protection,"Retain/restore corridors of suitable habitat between populations to facilitate dispersal and reduce the stresses associated with a loss of genetic variation.
</P>"
92818303,22679545,Agelastes meleagrides,2.1,Site/area management,"Promote community participation in conservation planning and other activities<B><SUP>14</SUP></B>.
</P>"
92818303,22679545,Agelastes meleagrides,4.3,Awareness & communications,"Where possible, conduct education campaigns<B><SUP>7,14</SUP></B> in part to address hunting pressure<B><SUP>7</SUP></B>.
</P>"
92818303,22679545,Agelastes meleagrides,5.4.2,National level,"Enforce laws for protected areas<B><SUP>14</SUP></B>.
</P>"
92818303,22679545,Agelastes meleagrides,4.2,Training,"In Ta&iuml; National Park and Gola Forest, ensure that future conservation work includes support for local people to contribute to research, management and tourism in and around the park<B><SUP>4,9</SUP></B>.

</P>"
92818303,22679545,Agelastes meleagrides,1.1,Site/area protection,"Ensure de facto protection of protected areas in and around the Ta&iuml forest, such as Haute Dodo, Cavally, Goin-Debe and Nzo Fauna Reserve.


</P>"
92819853,22679576,Dendrortyx barbatus,4.3,Awareness & communications,"Implement a conservation awareness programme for the Sierra Gorda, targeting villages near known populations. 

</P>"
92822815,22679650,Odontophorus atrifrons,2.1,Site/area management,"*Produce and promote management recommendations for Sierra de Perij&aacute; National Park<SUP>4</SUP>.

</P>"
92823350,22679663,Odontophorus melanonotus,4.3,Awareness & communications,"Raise awareness of the species and its status in an effort to reduce hunting pressure.

</P>"
92823350,22679663,Odontophorus melanonotus,2.1,Site/area management,"Improve active protection of R&iacute;o &Ntilde;amb&iacute; and La Planada Nature Reserves in Colombia, and attempt to resolve land disputes. 
</P>"
92823892,22679673,Odontophorus dialeucos,2.1,Site/area management,"Improve active protection of Dari&eacute;n National Park.
</P>"
92823892,22679673,Odontophorus dialeucos,1.1,Site/area protection,"Protect occupied habitat in Colombia. 

</P>"
92825670,22679717,Cyrtonyx ocellatus,6.4,Conservation payments,"Investigate the possibility of conservation on land with a lower stock density. 
</P>"
92825670,22679717,Cyrtonyx ocellatus,1.2,Resource & habitat protection,"Protect significant areas of suitable habitat in a network of private and public reserves. 
</P>"
92825670,22679717,Cyrtonyx ocellatus,4.3,Awareness & communications,"Investigate the extent of hunting and take appropriate measures, including the use of awareness campaigns, to address these issues. 
</P>"
92832782,22679869,Anser cygnoid,3.1.1,Harvest management,"Regulate the hunting of all species of Anatidae in China.

</P>"
92832782,22679869,Anser cygnoid,1.1,Site/area protection,"Study its decline and establish more protected areas in its breeding grounds.
</P>"
92832782,22679869,Anser cygnoid,1.1,Site/area protection,"Designate as protected, the area around Chertovo lake and link it to the Orlik wildlife refuge (Russia).
</P>"
92832782,22679869,Anser cygnoid,5.1.1,International level,"Ensure legal protection of this species in all range states.

</P>"
92832782,22679869,Anser cygnoid,1.1,Site/area protection,"Expand the Khanka Lake Nature Reserve (Russia).

</P>"
92832782,22679869,Anser cygnoid,1.1,Site/area protection,"Establish a protected area at the Han River Estuary (South Korea).

</P>"
92832782,22679869,Anser cygnoid,1.1,Site/area protection,"Protect breeding and moulting habitats in north-western Sakhalin (Russia).
</P>"
92832782,22679869,Anser cygnoid,3.1.1,Harvest management,"Reduce hunting pressure at passage and wintering sites in Russia.

</P>"
