scientificName,redlistCategory,actions,other_threats,smallpop
Encephalartos kanga,Critically Endangered,yes,yes,yes
Cycas megacarpa,Vulnerable,NA,NA,NA
Cycas platyphylla,Endangered,NA,NA,NA
Macrozamia conferta,Vulnerable,NA,NA,NA
Macrozamia elegans,Endangered,NA,NA,NA
Macrozamia flexuosa,Endangered,NA,NA,NA
Macrozamia pauli-guilielmi,Endangered,NA,NA,NA
Macrozamia spiralis,Endangered,NA,NA,NA
Macrozamia occidua,Vulnerable,yes,NA,NA
Macrozamia parcifolia,Vulnerable,NA,yes,NA
Macrozamia secunda,Vulnerable,NA,NA,NA
Macrozamia viridis,Endangered,NA,NA,NA
Cycas cairnsiana,Vulnerable,NA,NA,NA
Cycas ophiolitica,Vulnerable,NA,NA,NA
Cycas micholitzii,Vulnerable,NA,NA,NA
Cercocebus galeritus,Endangered,NA,NA,NA
Cycas bifida,Vulnerable,NA,NA,NA
Cycas nongnoochiae,Vulnerable,NA,NA,NA
Cycas pachypoda,Critically Endangered,NA,NA,NA
Cycas pectinata,Vulnerable,NA,NA,NA
Cycas guizhouensis,Vulnerable,NA,NA,NA
Cycas panzhihuaensis,Vulnerable,NA,NA,NA
Macrozamia platyrhachis,Vulnerable,NA,NA,NA
Cycas circinalis,Endangered,NA,NA,NA
Cycas falcata,Vulnerable,NA,NA,NA
Cycas javana,Endangered,NA,NA,NA
Cycas nathorstii,Vulnerable,NA,NA,NA
Cycas riuminiana,Endangered,yes,yes,NA
Cycas wadei,Critically Endangered,yes,NA,NA
Cycas zeylanica,Vulnerable,NA,yes,NA
Ceratozamia euryphyllidia,Critically Endangered,NA,NA,NA
Cycas beddomei,Endangered,NA,NA,NA
Cycas chamaoensis,Critically Endangered,NA,NA,NA
Cycas debaoensis,Critically Endangered,NA,NA,NA
Cycas hongheensis,Critically Endangered,yes,NA,yes
Cycas szechuanensis,Critically Endangered,yes,NA,yes
Cycas tansachana,Critically Endangered,NA,NA,NA
Cycas aculeata,Vulnerable,NA,NA,NA
Cycas changjiangensis,Endangered,NA,NA,NA
Cycas hainanensis,Endangered,NA,NA,NA
Cycas hoabinhensis,Endangered,NA,NA,NA
Cycas multipinnata,Endangered,NA,NA,NA
Cycas taiwaniana,Endangered,NA,NA,NA
Cycas condaoensis,Vulnerable,NA,NA,NA
Cycas collina,Vulnerable,NA,NA,NA
Cycas diannanensis,Vulnerable,NA,NA,NA
Cycas elongata,Endangered,NA,NA,NA
Cycas inermis,Vulnerable,NA,NA,NA
Cycas lindstromii,Endangered,NA,NA,NA
Cycas macrocarpa,Vulnerable,NA,NA,NA
Cycas pranburiensis,Vulnerable,NA,NA,NA
Cycas seemannii,Vulnerable,NA,NA,NA
Cycas segmentifida,Vulnerable,NA,NA,NA
Cycas siamensis,Vulnerable,NA,NA,NA
Cycas taitungensis,Endangered,NA,NA,NA
Ceratozamia fuscoviridis,Critically Endangered,NA,NA,yes
Zamia acuminata,Vulnerable,NA,NA,NA
Ceratozamia kuesteriana,Critically Endangered,NA,NA,NA
Ceratozamia norstogii,Endangered,NA,NA,NA
Ceratozamia zaragozae,Critically Endangered,NA,NA,yes
Dioon caputoi,Endangered,NA,NA,NA
Microcycas calocoma,Critically Endangered,NA,NA,NA
Zamia amplifolia,Critically Endangered,yes,NA,NA
Zamia disodon,Critically Endangered,NA,NA,NA
Zamia hymenophyllidia,Critically Endangered,NA,NA,yes
Zamia inermis,Critically Endangered,NA,yes,NA
Zamia macrochiera,Critically Endangered,NA,NA,yes
Zamia montana,Critically Endangered,yes,NA,yes
Cercopithecus erythrotis,Vulnerable,NA,NA,NA
Zamia monticola,Critically Endangered,NA,NA,yes
Zamia prasina,Critically Endangered,NA,NA,yes
Zamia cunaria,Vulnerable,NA,NA,NA
Zamia portoricensis,Endangered,NA,NA,NA
Ceratozamia mixeorum,Endangered,NA,NA,NA
Zamia spartea,Critically Endangered,NA,NA,NA
Zamia urep,Critically Endangered,NA,NA,yes
Zamia angustifolia,Vulnerable,NA,NA,NA
Zamia vazquezii,Critically Endangered,NA,NA,yes
Zamia pygmaea,Critically Endangered,NA,NA,yes
Zamia wallisii,Critically Endangered,yes,NA,yes
Ceratozamia alvarezii,Endangered,NA,NA,NA
Ceratozamia becerrae,Endangered,NA,NA,NA
Ceratozamia hildae,Endangered,NA,NA,NA
Ceratozamia matudae,Endangered,NA,NA,NA
Ceratozamia morettii,Endangered,NA,NA,NA
Ceratozamia sabatoi,Endangered,NA,NA,NA
Ceratozamia whitelockiana,Endangered,NA,NA,NA
Dioon holmgrenii,Endangered,NA,NA,NA
Dioon sonorense,Endangered,NA,NA,NA
Araucaria montana,Vulnerable,NA,yes,NA
Dioon tomasellii,Vulnerable,NA,NA,NA
Zamia cremnophila,Endangered,NA,NA,NA
Zamia dressleri,Endangered,NA,NA,NA
Zamia fischeri,Endangered,NA,NA,NA
Zamia lacandona,Endangered,NA,NA,NA
Zamia melanorrhachis,Endangered,NA,NA,NA
Zamia purpurea,Critically Endangered,NA,NA,NA
Zamia skinneri,Endangered,NA,NA,NA
Zamia variegata,Endangered,NA,NA,NA
Ceratozamia latifolia,Endangered,NA,NA,NA
Ceratozamia mexicana,Vulnerable,NA,NA,NA
Ceratozamia microstrobila,Vulnerable,NA,NA,NA
Ceratozamia miqueliana,Critically Endangered,NA,NA,NA
Ceratozamia robusta,Endangered,NA,NA,NA
Dioon califanoi,Endangered,NA,NA,NA
Dioon merolae,Vulnerable,NA,NA,NA
Dioon purpusii,Vulnerable,NA,NA,NA
Dioon rzedowskii,Endangered,NA,NA,NA
Dioon spinulosum,Endangered,NA,NA,NA
Zamia encephalartoides,Vulnerable,NA,yes,NA
Zamia furfuracea,Endangered,NA,NA,NA
Zamia gentryi,Critically Endangered,NA,NA,NA
Zamia herrerae,Vulnerable,NA,NA,NA
Zamia ipetiensis,Endangered,NA,NA,NA
Zamia soconuscensis,Vulnerable,NA,NA,NA
Zamia standleyi,Vulnerable,NA,NA,NA
Zamia lucayana,Endangered,NA,NA,NA
Cercopithecus erythrogaster,Vulnerable,NA,NA,NA
Zamia neurophyllidia,Vulnerable,NA,NA,NA
Abies pinsapo,Endangered,NA,yes,NA
Podocarpus longefoliolatus,Endangered,NA,yes,yes
Saguinus niger,Vulnerable,NA,NA,NA
Spalax zemni,Vulnerable,NA,NA,NA
Glyphis garricki,Critically Endangered,NA,NA,yes
Chiropotes utahickae,Endangered,NA,NA,NA
Alouatta discolor,Vulnerable,NA,NA,NA
Chalinolobus neocaledonicus,Endangered,NA,NA,NA
Chalinolobus tuberculatus,Vulnerable,NA,yes,NA
Mustelus fasciatus,Critically Endangered,NA,NA,NA
Schroederichthys saurisqualus,Vulnerable,NA,NA,NA
Rhinoptera brasiliensis,Endangered,NA,NA,NA
Potamonautes gonocristatus,Endangered,NA,NA,NA
Potamonautes idjiwiensis,Endangered,NA,NA,NA
Potamonautes ignestii,Vulnerable,NA,NA,NA
Potamonautes infravallatus,Vulnerable,NA,NA,NA
Potamonautes pilosus,Vulnerable,NA,NA,NA
Potamonautes platycentron,Endangered,NA,NA,NA
Potamonautes raybouldi,Vulnerable,NA,NA,NA
Potamonautes unisulcatus,Vulnerable,NA,NA,NA
Atlantoraja castelnaui,Endangered,NA,NA,NA
Benthobatis kreffti,Vulnerable,NA,NA,NA
Galeus mincaronei,Vulnerable,NA,NA,NA
Trachypithecus johnii,Vulnerable,NA,yes,yes
Sympterygia acuta,Vulnerable,NA,NA,NA
Gurgesiella dorsalifera,Vulnerable,NA,NA,NA
Rhinolophus hilli,Critically Endangered,NA,yes,NA
Rhinolophus ruwenzorii,Vulnerable,NA,yes,NA
Rhinolophus ziama,Endangered,NA,NA,NA
Fukomys kafuensis,Vulnerable,NA,NA,NA
Otomys lacustris,Vulnerable,NA,NA,NA
Otomys burtoni,Endangered,NA,NA,NA
Cheilinus undulatus,Endangered,NA,NA,NA
Cherax tenuimanus,Critically Endangered,yes,yes,NA
Chelonia mydas,Endangered,NA,yes,NA
Cherax destructor,Vulnerable,NA,NA,NA
Chiropotes albinasus,Endangered,NA,NA,NA
Clupeonella abrau,Critically Endangered,NA,NA,NA
Coelops robinsoni,Vulnerable,NA,NA,NA
Colobus polykomos,Vulnerable,NA,NA,NA
Colobus satanas,Vulnerable,NA,NA,NA
Peltophryne lemur,Critically Endangered,NA,NA,yes
Philoria kundagungan,Endangered,NA,NA,NA
Philoria loveridgei,Endangered,NA,NA,NA
Philoria sphagnicolus,Endangered,NA,NA,NA
Cryptotriton monzoni,Critically Endangered,NA,NA,NA
Adenomus dasi,Critically Endangered,NA,yes,NA
Adenomus kelaartii,Endangered,NA,NA,NA
Ghatophryne ornata,Endangered,NA,NA,NA
Ghatophryne rubigina,Vulnerable,NA,NA,NA
Ansonia siamensis,Vulnerable,NA,yes,NA
Rhinella chrysophora,Endangered,NA,NA,NA
Atelopus arthuri,Critically Endangered,NA,NA,NA
Atelopus boulengeri,Critically Endangered,yes,NA,NA
Atelopus carbonerensis,Critically Endangered,yes,yes,NA
Atelopus chiriquiensis,Critically Endangered,yes,yes,NA
Leptodactylodon perreti,Endangered,NA,NA,NA
Bombina lichuanensis,Vulnerable,NA,NA,NA
Atelopus chrysocorallus,Critically Endangered,yes,NA,NA
Atelopus coynei,Critically Endangered,yes,NA,NA
Atelopus cruciger,Critically Endangered,yes,NA,NA
Anaxyrus baxteri,Extinct in the Wild,yes,yes,NA
Rhaebo caeruleostictus,Endangered,NA,NA,NA
Anaxyrus californicus,Endangered,yes,yes,NA
Atelopus mucubajiensis,Critically Endangered,yes,NA,NA
Atelopus oxyrhynchus,Critically Endangered,yes,NA,NA
Atelopus pinangoi,Critically Endangered,yes,NA,NA
Atelopus senex,Critically Endangered,yes,NA,NA
Atelopus sorianoi,Critically Endangered,yes,NA,NA
Atelopus spumarius,Vulnerable,NA,NA,NA
Atelopus tamaense,Critically Endangered,yes,NA,NA
Atelopus varius,Critically Endangered,NA,NA,NA
Rhinella amabilis,Critically Endangered,NA,NA,NA
Peltophryne cataulaciceps,Endangered,NA,NA,NA
Duttaphrynus kotagamai,Endangered,NA,yes,NA
Xanthophryne koynayensis,Endangered,NA,NA,NA
Incilius cristatus,Critically Endangered,NA,NA,NA
Peltophryne longinasus,Endangered,NA,NA,NA
Incilius macrocristatus,Vulnerable,NA,yes,NA
Peltophryne empusa,Vulnerable,NA,NA,NA
Incilius fastidiosus,Critically Endangered,yes,NA,NA
Peltophryne fluviatica,Critically Endangered,NA,NA,NA
Peltophryne fracta,Endangered,NA,NA,NA
Incilius gemmifer,Endangered,NA,NA,NA
Peltophryne guentheri,Vulnerable,NA,NA,NA
Peltophryne gundlachi,Vulnerable,NA,NA,NA
Incilius ibarrai,Endangered,NA,NA,NA
Rhinella justinianoi,Vulnerable,NA,NA,NA
Incilius spiculatus,Endangered,NA,NA,NA
Peltophryne taladai,Vulnerable,NA,NA,NA
Incilius tutelarius,Endangered,NA,NA,NA
Duttaphrynus noellerti,Endangered,NA,NA,NA
Incilius peripatetes,Critically Endangered,yes,NA,NA
Incilius perplexus,Endangered,NA,NA,NA
Rhinella quechua,Vulnerable,NA,NA,NA
Rhinella rumbolli,Vulnerable,NA,NA,NA
Rhinella sclerocephala,Endangered,NA,NA,NA
Duttaphrynus scorteccii,Vulnerable,NA,NA,NA
Incilius tacanensis,Endangered,NA,NA,NA
Osornophryne guacamayo,Endangered,NA,NA,NA
Osornophryne sumacoensis,Vulnerable,NA,NA,NA
Dendrophryniscus carvalhoi,Endangered,NA,NA,NA
Melanophryniscus devincenzii,Endangered,NA,NA,NA
Melanophryniscus dorsalis,Vulnerable,NA,yes,NA
Melanophryniscus macrogranulosus,Vulnerable,NA,NA,NA
Melanophryniscus montevidensis,Vulnerable,NA,NA,NA
Melanophryniscus orejasmirandai,Vulnerable,NA,NA,NA
Metaphryniscus sosai,Vulnerable,NA,NA,NA
Oreophrynella cryptica,Vulnerable,NA,yes,NA
Oreophrynella huberi,Vulnerable,NA,NA,NA
Oreophrynella macconnelli,Vulnerable,NA,NA,NA
Oreophrynella nigra,Vulnerable,NA,NA,NA
Oreophrynella quelchii,Vulnerable,NA,yes,NA
Oreophrynella vasquezi,Vulnerable,NA,NA,NA
Osornophryne antisana,Endangered,NA,NA,NA
Centrolene daidalea,Vulnerable,NA,NA,NA
Centrolene buckleyi,Vulnerable,yes,NA,NA
Centrolene gemmatum,Critically Endangered,NA,NA,NA
Cochranella riveroi,Vulnerable,NA,NA,NA
Nymphargus siren,Vulnerable,NA,NA,NA
Nymphargus anomalus,Critically Endangered,NA,NA,NA
Nymphargus balionota,Vulnerable,NA,NA,NA
Nymphargus cochranae,Vulnerable,NA,NA,NA
Nymphargus megacheirus,Endangered,yes,NA,NA
Vitreorana antisthenesi,Vulnerable,NA,NA,NA
Hyalinobatrachium fragile,Vulnerable,NA,NA,NA
Hyalinobatrachium guairarepanense,Endangered,yes,yes,NA
Hyalinobatrachium ibama,Vulnerable,NA,NA,NA
Allobates humilis,Vulnerable,NA,NA,NA
Hyalinobatrachium orientale,Vulnerable,NA,NA,NA
Colostethus jacobuspetersi,Critically Endangered,NA,NA,NA
Hyalinobatrachium pallidum,Endangered,yes,NA,NA
Celsiella revocata,Vulnerable,NA,NA,NA
Aromobates nocturnus,Critically Endangered,NA,NA,NA
Hyloxalus anthracinus,Critically Endangered,NA,NA,NA
Hyloxalus cevallosi,Endangered,NA,NA,NA
Allobates chalcopis,Vulnerable,NA,NA,NA
Prostherapis dunni,Critically Endangered,NA,NA,NA
Allobates kingsburyi,Endangered,NA,NA,NA
Hyloxalus toachi,Endangered,NA,NA,NA
Aromobates leopardalis,Critically Endangered,yes,NA,NA
Oophaga arborea,Endangered,NA,NA,NA
Allobates mandelorum,Endangered,NA,NA,NA
Anomaloglossus murisipanensis,Vulnerable,NA,NA,NA
Oophaga granulifera,Vulnerable,NA,NA,NA
Allobates olfersioides,Vulnerable,NA,NA,NA
Aromobates saltuensis,Endangered,yes,NA,NA
Hyloxalus vertebralis,Critically Endangered,NA,NA,NA
Aromobates meridensis,Critically Endangered,NA,NA,NA
Aromobates molinarii,Endangered,NA,NA,NA
Oophaga speciosa,Endangered,NA,NA,NA
Minyobates steyermarki,Critically Endangered,NA,NA,NA
Aromobates orostoma,Endangered,NA,NA,NA
Aromobates serranus,Endangered,NA,NA,NA
Agalychnis litodryas,Vulnerable,NA,NA,NA
Mannophryne caquetio,Critically Endangered,yes,yes,NA
Mannophryne collaris,Endangered,yes,NA,NA
Mannophryne cordilleriana,Critically Endangered,NA,NA,NA
Mannophryne lamarcai,Critically Endangered,NA,NA,NA
Mannophryne neblina,Critically Endangered,NA,NA,NA
Mannophryne riveroi,Endangered,NA,NA,NA
Mannophryne trinitatis,Vulnerable,NA,NA,NA
Mannophryne yustizi,Endangered,NA,NA,NA
Aromobates alboguttatus,Endangered,NA,NA,NA
Aromobates duranti,Endangered,NA,NA,NA
Aromobates haydeeae,Endangered,NA,NA,NA
Aromobates mayorgai,Endangered,NA,NA,NA
Argenteohyla siemersi,Endangered,NA,NA,NA
Duellmanohyla chamulae,Endangered,NA,NA,NA
Duellmanohyla ignicolor,Endangered,NA,NA,NA
Charadrahyla altipotens,Critically Endangered,NA,NA,NA
Duellmanohyla schmidtorum,Vulnerable,NA,NA,NA
Flectonotus fitzgeraldi,Endangered,NA,NA,NA
Isthmohyla angustilineata,Critically Endangered,yes,NA,NA
Sarcohyla arborescandens,Endangered,NA,NA,NA
Gastrotheca cornuta,Endangered,NA,NA,NA
Gastrotheca lauzuricae,Critically Endangered,NA,NA,NA
Gastrotheca ovifera,Endangered,NA,NA,NA
Gastrotheca plumbea,Vulnerable,NA,NA,NA
Gastrotheca riobambae,Endangered,NA,NA,NA
Gastrotheca splendens,Endangered,yes,NA,NA
Sarcohyla cyclada,Endangered,NA,NA,NA
Boana cymbalum,Critically Endangered,NA,NA,NA
Isthmohyla debilis,Critically Endangered,yes,NA,NA
Ptychohyla dendrophasma,Critically Endangered,yes,NA,NA
Ecnomiohyla fimbrimembra,Endangered,NA,NA,NA
Tlalocohyla godmani,Vulnerable,NA,yes,NA
Plectrohyla calthula,Critically Endangered,yes,NA,NA
Sarcohyla calvicollina,Critically Endangered,yes,NA,NA
Isthmohyla calypsa,Critically Endangered,yes,NA,NA
Sarcohyla celata,Critically Endangered,yes,NA,NA
Sarcohyla cembra,Critically Endangered,yes,NA,NA
Charadrahyla chaneque,Endangered,NA,NA,NA
Sarcohyla charadricola,Endangered,yes,NA,NA
Hyloscirtus charazani,Endangered,NA,NA,NA
Exerodonta chimalapa,Endangered,NA,NA,NA
Hyloscirtus chlorosteus,Critically Endangered,NA,NA,NA
Sarcohyla chryses,Critically Endangered,yes,NA,NA
Sarcohyla crassa,Critically Endangered,yes,NA,NA
Sarcohyla cyanomma,Critically Endangered,yes,NA,NA
Bromeliohyla dendroscarta,Critically Endangered,NA,NA,NA
Ecnomiohyla echinata,Critically Endangered,NA,NA,NA
Sarcohyla hazelae,Critically Endangered,NA,NA,NA
Ecnomiohyla miliaria,Vulnerable,NA,NA,NA
Sarcohyla mykter,Endangered,NA,NA,NA
Charadrahyla nephila,Vulnerable,NA,NA,NA
Sarcohyla pachyderma,Critically Endangered,yes,yes,NA
Charadrahyla juanitae,Vulnerable,NA,NA,NA
Megastomatohyla pellita,Critically Endangered,NA,NA,NA
Sarcohyla pentheter,Endangered,NA,NA,NA
Exerodonta perkinsi,Critically Endangered,NA,NA,NA
Exerodonta melanomma,Vulnerable,NA,NA,NA
Dendropsophus meridensis,Endangered,NA,NA,NA
Ecnomiohyla minera,Endangered,NA,NA,NA
Megastomatohyla mixe,Critically Endangered,NA,NA,NA
Megastomatohyla mixomaculata,Endangered,NA,NA,NA
Sarcohyla siopela,Critically Endangered,yes,NA,NA
Isthmohyla pictipes,Endangered,NA,NA,NA
Sarcohyla thorectes,Critically Endangered,yes,NA,NA
Charadrahyla pinorum,Vulnerable,NA,NA,NA
Hyloscirtus platydactylus,Vulnerable,NA,NA,NA
Sarcohyla psarosema,Critically Endangered,NA,NA,NA
Ecnomiohyla valancifer,Critically Endangered,NA,NA,NA
Dryophytes walkeri,Vulnerable,NA,NA,NA
Isthmohyla rivularis,Critically Endangered,yes,NA,NA
Sarcohyla robertsorum,Endangered,NA,NA,NA
Exerodonta xera,Vulnerable,NA,NA,NA
Sarcohyla sabrina,Critically Endangered,yes,yes,NA
Charadrahyla taeniopus,Vulnerable,NA,NA,NA
Litoria wisselensis,Vulnerable,NA,NA,NA
Litoria becki,Vulnerable,NA,NA,NA
Nyctimystes rueppelli,Vulnerable,NA,NA,NA
Litoria daviesae,Vulnerable,NA,NA,NA
Litoria lutea,Vulnerable,NA,NA,NA
Litoria quadrilineata,Vulnerable,NA,NA,NA
Nyctimystes avocalis,Vulnerable,NA,NA,NA
Osteopilus crucialis,Endangered,NA,NA,NA
Plectrohyla glandulosa,Endangered,NA,NA,NA
Osteopilus marianae,Endangered,NA,NA,NA
Plectrohyla guatemalensis,Critically Endangered,yes,NA,NA
Plectrohyla hartwegi,Critically Endangered,yes,NA,NA
Plectrohyla ixil,Critically Endangered,yes,NA,NA
Osteopilus wilderi,Endangered,NA,NA,NA
Plectrohyla lacertosa,Endangered,NA,NA,NA
Plectrohyla pokomchi,Critically Endangered,yes,NA,NA
Plectrohyla psiloderma,Endangered,NA,NA,NA
Plectrohyla pycnochila,Critically Endangered,yes,NA,NA
Plectrohyla quecchi,Critically Endangered,yes,NA,NA
Plectrohyla sagorum,Endangered,NA,NA,NA
Crocidura stenocephala,Endangered,NA,NA,NA
Plectrohyla tecunumani,Critically Endangered,yes,NA,NA
Plectrohyla teuchestes,Critically Endangered,yes,NA,NA
Phytotriades auratus,Critically Endangered,NA,NA,NA
Agalychnis lemur,Critically Endangered,NA,NA,NA
Plectrohyla acanthodes,Critically Endangered,yes,NA,NA
Quilticohyla erythromma,Endangered,NA,NA,NA
Ptychohyla leonhardschultzei,Endangered,NA,NA,NA
Ptychohyla macrotympanum,Critically Endangered,yes,NA,NA
Atlantihyla panchoi,Endangered,NA,NA,NA
Quilticohyla sanctaecrucis,Critically Endangered,yes,NA,NA
Atlantihyla spinipollex,Endangered,NA,NA,NA
Ololygon alcatraz,Critically Endangered,NA,yes,NA
Stefania riveroi,Vulnerable,NA,NA,NA
Stefania schuberti,Vulnerable,NA,yes,NA
Tepuihyla rimarum,Vulnerable,NA,NA,NA
Crocidura allex,Vulnerable,NA,yes,NA
Leptopelis palmatus,Vulnerable,NA,NA,NA
Hyperolius thomensis,Endangered,NA,NA,NA
Kassina lamottei,Vulnerable,NA,NA,NA
Adelophryne baturitensis,Vulnerable,NA,NA,NA
Adelophryne maranguapensis,Endangered,NA,NA,NA
Pristimantis acerus,Endangered,NA,NA,NA
Eleutherodactylus acmonis,Endangered,NA,yes,NA
Pristimantis actites,Vulnerable,NA,NA,NA
Eleutherodactylus adelus,Endangered,NA,NA,NA
Pristimantis bicumulus,Vulnerable,NA,NA,NA
Strabomantis biporcatus,Vulnerable,NA,NA,NA
Yunganastes bisignatus,Endangered,NA,NA,NA
Eleutherodactylus albipes,Critically Endangered,NA,yes,NA
Eleutherodactylus blairhedgesi,Critically Endangered,NA,yes,NA
Craugastor alfredi,Vulnerable,NA,NA,NA
Craugastor brocchi,Vulnerable,NA,yes,NA
Eleutherodactylus amadeus,Critically Endangered,NA,NA,NA
Eleutherodactylus amplinympha,Endangered,NA,NA,NA
Craugastor andi,Critically Endangered,yes,NA,NA
Pristimantis calcarulatus,Vulnerable,NA,NA,NA
Eleutherodactylus andrewsi,Endangered,NA,NA,NA
Craugastor angelicus,Critically Endangered,yes,NA,NA
Eleutherodactylus angustidigitorum,Vulnerable,NA,NA,NA
Eleutherodactylus caribe,Critically Endangered,NA,NA,NA
Craugastor catalinae,Critically Endangered,yes,NA,NA
Craugastor aphanus,Vulnerable,NA,NA,NA
Eleutherodactylus apostates,Critically Endangered,NA,NA,NA
Yunganastes ashkapara,Vulnerable,NA,NA,NA
Pristimantis atratus,Endangered,NA,NA,NA
Eleutherodactylus audanti,Vulnerable,NA,NA,NA
Eleutherodactylus auriculatoides,Endangered,NA,NA,NA
Craugastor azueroensis,Endangered,NA,NA,NA
Eleutherodactylus bakeri,Critically Endangered,NA,NA,NA
Pristimantis balionotus,Endangered,NA,NA,NA
Eleutherodactylus barlagnei,Endangered,yes,yes,NA
Eleutherodactylus bartonsmithi,Critically Endangered,NA,yes,NA
Pristimantis baryecuus,Endangered,NA,NA,NA
Pristimantis boconoensis,Vulnerable,NA,NA,NA
Craugastor bocourti,Vulnerable,NA,NA,NA
Eleutherodactylus bresslerae,Critically Endangered,NA,yes,NA
Eleutherodactylus brevirostris,Critically Endangered,NA,NA,NA
Pristimantis briceni,Vulnerable,NA,NA,NA
Pristimantis dissimulatus,Endangered,NA,NA,NA
Eleutherodactylus dixoni,Critically Endangered,NA,NA,NA
Eleutherodactylus dolomedes,Critically Endangered,NA,NA,NA
Eleutherodactylus emiliae,Endangered,NA,yes,NA
Eleutherodactylus chlorophenax,Critically Endangered,NA,NA,NA
Pristimantis ernesti,Vulnerable,NA,NA,NA
Eleutherodactylus etheridgei,Endangered,NA,yes,NA
Pristimantis colostichos,Vulnerable,NA,yes,NA
Pristimantis eugeniae,Endangered,NA,NA,NA
Eleutherodactylus eunaster,Critically Endangered,NA,NA,NA
Pristimantis euphronides,Endangered,NA,NA,NA
Strabomantis cornutus,Vulnerable,NA,NA,NA
Eleutherodactylus corona,Critically Endangered,NA,NA,NA
Eleutherodactylus counouspeus,Endangered,NA,NA,NA
Pristimantis cremnobates,Endangered,NA,NA,NA
Pristimantis crenunguis,Endangered,NA,NA,NA
Pristimantis crucifer,Vulnerable,NA,NA,NA
Pristimantis cryophilius,Endangered,NA,NA,NA
Eleutherodactylus cubanus,Critically Endangered,NA,yes,NA
Eleutherodactylus darlingtoni,Critically Endangered,NA,NA,NA
Craugastor daryi,Endangered,NA,NA,NA
Craugastor decoratus,Vulnerable,NA,yes,NA
Pristimantis devillei,Endangered,NA,NA,NA
Eleutherodactylus dilatus,Endangered,NA,NA,NA
Pristimantis duellmani,Vulnerable,NA,NA,NA
Craugastor emcelae,Critically Endangered,NA,NA,NA
Eleutherodactylus hypostenor,Endangered,NA,NA,NA
Eleutherodactylus iberia,Critically Endangered,NA,NA,NA
Pristimantis ignicolor,Endangered,NA,NA,NA
Pristimantis floridus,Vulnerable,NA,NA,NA
Eleutherodactylus intermedius,Endangered,NA,yes,NA
Eleutherodactylus fowleri,Critically Endangered,NA,NA,NA
Pristimantis inusitatus,Vulnerable,NA,NA,NA
Eleutherodactylus ionthus,Endangered,NA,yes,NA
Eleutherodactylus furcyensis,Critically Endangered,NA,NA,NA
Eleutherodactylus jamaicensis,Endangered,NA,NA,NA
Eleutherodactylus jaumei,Critically Endangered,NA,NA,NA
Pristimantis gentryi,Endangered,NA,NA,NA
Pristimantis ginesi,Endangered,NA,NA,NA
Eleutherodactylus glamyrus,Endangered,NA,yes,NA
Eleutherodactylus glandulifer,Critically Endangered,NA,NA,NA
Eleutherodactylus glanduliferoides,Critically Endangered,NA,NA,NA
Eleutherodactylus jugans,Critically Endangered,NA,NA,NA
Pristimantis glandulosus,Endangered,NA,NA,NA
Eleutherodactylus glaphycompus,Endangered,NA,NA,NA
Craugastor glaucus,Critically Endangered,NA,yes,NA
Eleutherodactylus klinikowskii,Endangered,NA,yes,NA
Eleutherodactylus grabhami,Endangered,NA,NA,NA
Eleutherodactylus grahami,Endangered,NA,NA,NA
Craugastor laevissimus,Endangered,NA,NA,NA
Eleutherodactylus lamprotes,Critically Endangered,NA,NA,NA
Eleutherodactylus grandis,Critically Endangered,NA,yes,NA
Pristimantis lancinii,Endangered,NA,NA,NA
Craugastor greggi,Critically Endangered,yes,NA,NA
Eleutherodactylus greyi,Endangered,NA,yes,NA
Eleutherodactylus griphus,Critically Endangered,NA,NA,NA
Eleutherodactylus gryllus,Endangered,NA,yes,NA
Eleutherodactylus guanahacabibes,Endangered,NA,yes,NA
Eleutherodactylus guantanamera,Vulnerable,NA,yes,NA
Craugastor guerreroensis,Critically Endangered,yes,NA,NA
Eleutherodactylus gundlachi,Endangered,NA,yes,NA
Eleutherodactylus haitianus,Endangered,NA,yes,NA
Pristimantis hamiotae,Critically Endangered,NA,NA,NA
Eleutherodactylus hedricki,Endangered,NA,NA,NA
Strabomantis helonotus,Critically Endangered,NA,NA,NA
Eleutherodactylus heminota,Endangered,NA,NA,NA
Craugastor hobartsmithi,Endangered,NA,NA,NA
Craugastor inachus,Endangered,NA,NA,NA
Pristimantis incanus,Endangered,NA,NA,NA
Pristimantis modipeplus,Endangered,NA,NA,NA
Craugastor lauraster,Endangered,NA,NA,NA
Eleutherodactylus monensis,Vulnerable,NA,NA,NA
Eleutherodactylus leberi,Endangered,NA,NA,NA
Eleutherodactylus montanus,Endangered,NA,yes,NA
Pristimantis muricatus,Vulnerable,NA,NA,NA
Eleutherodactylus lentus,Endangered,NA,NA,NA
Eleutherodactylus leoncei,Critically Endangered,NA,NA,NA
Pristimantis museosus,Endangered,NA,NA,NA
Eleutherodactylus leprus,Vulnerable,NA,NA,NA
Eleutherodactylus limbatus,Vulnerable,NA,NA,NA
Craugastor lineatus,Critically Endangered,yes,NA,NA
Pristimantis lividus,Endangered,NA,NA,NA
Pristimantis nigrogriseus,Vulnerable,NA,NA,NA
Eleutherodactylus locustus,Critically Endangered,yes,yes,NA
Eleutherodactylus longipes,Vulnerable,NA,NA,NA
Eleutherodactylus nortoni,Critically Endangered,NA,NA,NA
Eleutherodactylus nubicola,Endangered,NA,yes,NA
Eleutherodactylus lucioi,Critically Endangered,NA,NA,NA
